Window	Chr	Chr_start	Chr_end	Track	Density
23	Supercontig_1.1	115000	125000	PopA.INDEL.fixed	19
23	Supercontig_1.1	115000	125000	PopA.INDEL.lungonly	0
23	Supercontig_1.1	115000	125000	PopA.SNP.fixed	200
23	Supercontig_1.1	115000	125000	PopA.SNP.lungonly	0
23	Supercontig_1.1	115000	125000	repeats	0
24	Supercontig_1.1	120000	130000	Genes	6
24	Supercontig_1.1	120000	130000	PopA.INDEL.fixed	10
24	Supercontig_1.1	120000	130000	PopA.INDEL.lungonly	0
24	Supercontig_1.1	120000	130000	PopA.SNP.fixed	164
24	Supercontig_1.1	120000	130000	PopA.SNP.lungonly	0
24	Supercontig_1.1	120000	130000	repeats	0
25	Supercontig_1.1	125000	135000	Genes	7
25	Supercontig_1.1	125000	135000	PopA.INDEL.fixed	15
25	Supercontig_1.1	125000	135000	PopA.INDEL.lungonly	0
25	Supercontig_1.1	125000	135000	PopA.SNP.fixed	136
25	Supercontig_1.1	125000	135000	PopA.SNP.lungonly	0
25	Supercontig_1.1	125000	135000	repeats	0
26	Supercontig_1.1	130000	140000	Genes	5
26	Supercontig_1.1	130000	140000	PopA.INDEL.fixed	7
26	Supercontig_1.1	130000	140000	PopA.INDEL.lungonly	0
26	Supercontig_1.1	130000	140000	PopA.SNP.fixed	57
26	Supercontig_1.1	130000	140000	PopA.SNP.lungonly	1
26	Supercontig_1.1	130000	140000	repeats	0
27	Supercontig_1.1	135000	145000	Genes	3
27	Supercontig_1.1	135000	145000	PopA.INDEL.fixed	0
27	Supercontig_1.1	135000	145000	PopA.INDEL.lungonly	0
27	Supercontig_1.1	135000	145000	PopA.SNP.fixed	1
27	Supercontig_1.1	135000	145000	PopA.SNP.lungonly	1
27	Supercontig_1.1	135000	145000	repeats	0
28	Supercontig_1.1	140000	150000	Genes	4
28	Supercontig_1.1	140000	150000	PopA.INDEL.fixed	7
28	Supercontig_1.1	140000	150000	PopA.INDEL.lungonly	0
28	Supercontig_1.1	140000	150000	PopA.SNP.fixed	2
28	Supercontig_1.1	140000	150000	PopA.SNP.lungonly	0
28	Supercontig_1.1	140000	150000	repeats	0
29	Supercontig_1.1	145000	155000	Genes	5
29	Supercontig_1.1	145000	155000	PopA.INDEL.fixed	7
29	Supercontig_1.1	145000	155000	PopA.INDEL.lungonly	0
29	Supercontig_1.1	145000	155000	PopA.SNP.fixed	2
29	Supercontig_1.1	145000	155000	PopA.SNP.lungonly	0
29	Supercontig_1.1	145000	155000	repeats	0
30	Supercontig_1.1	150000	160000	Genes	6
30	Supercontig_1.1	150000	160000	PopA.INDEL.fixed	0
30	Supercontig_1.1	150000	160000	PopA.INDEL.lungonly	0
30	Supercontig_1.1	150000	160000	PopA.SNP.fixed	1
30	Supercontig_1.1	150000	160000	PopA.SNP.lungonly	0
30	Supercontig_1.1	150000	160000	repeats	0
31	Supercontig_1.1	155000	165000	Genes	7
31	Supercontig_1.1	155000	165000	PopA.INDEL.fixed	0
31	Supercontig_1.1	155000	165000	PopA.INDEL.lungonly	0
31	Supercontig_1.1	155000	165000	PopA.SNP.fixed	0
31	Supercontig_1.1	155000	165000	PopA.SNP.lungonly	0
31	Supercontig_1.1	155000	165000	repeats	0
32	Supercontig_1.1	160000	170000	Genes	6
32	Supercontig_1.1	160000	170000	PopA.INDEL.fixed	0
32	Supercontig_1.1	160000	170000	PopA.INDEL.lungonly	0
32	Supercontig_1.1	160000	170000	PopA.SNP.fixed	0
32	Supercontig_1.1	160000	170000	PopA.SNP.lungonly	0
32	Supercontig_1.1	160000	170000	repeats	0
33	Supercontig_1.1	165000	175000	Genes	5
33	Supercontig_1.1	165000	175000	PopA.INDEL.fixed	0
33	Supercontig_1.1	165000	175000	PopA.INDEL.lungonly	0
33	Supercontig_1.1	165000	175000	PopA.SNP.fixed	1
33	Supercontig_1.1	165000	175000	PopA.SNP.lungonly	0
33	Supercontig_1.1	165000	175000	repeats	0
34	Supercontig_1.1	170000	180000	Genes	5
34	Supercontig_1.1	170000	180000	PopA.INDEL.fixed	8
34	Supercontig_1.1	170000	180000	PopA.INDEL.lungonly	0
34	Supercontig_1.1	170000	180000	PopA.SNP.fixed	1
34	Supercontig_1.1	170000	180000	PopA.SNP.lungonly	0
34	Supercontig_1.1	170000	180000	repeats	0
35	Supercontig_1.1	175000	185000	Genes	7
35	Supercontig_1.1	175000	185000	PopA.INDEL.fixed	13
35	Supercontig_1.1	175000	185000	PopA.INDEL.lungonly	1
35	Supercontig_1.1	175000	185000	PopA.SNP.fixed	0
35	Supercontig_1.1	175000	185000	PopA.SNP.lungonly	0
35	Supercontig_1.1	175000	185000	repeats	1
36	Supercontig_1.1	180000	190000	Genes	6
36	Supercontig_1.1	180000	190000	PopA.INDEL.fixed	5
36	Supercontig_1.1	180000	190000	PopA.INDEL.lungonly	1
36	Supercontig_1.1	180000	190000	PopA.SNP.fixed	2
36	Supercontig_1.1	180000	190000	PopA.SNP.lungonly	1
36	Supercontig_1.1	180000	190000	repeats	2
37	Supercontig_1.1	185000	195000	Genes	5
37	Supercontig_1.1	185000	195000	PopA.INDEL.fixed	2
37	Supercontig_1.1	185000	195000	PopA.INDEL.lungonly	0
37	Supercontig_1.1	185000	195000	PopA.SNP.fixed	2
37	Supercontig_1.1	185000	195000	PopA.SNP.lungonly	1
37	Supercontig_1.1	185000	195000	repeats	1
38	Supercontig_1.1	190000	200000	Genes	5
38	Supercontig_1.1	190000	200000	PopA.INDEL.fixed	5
38	Supercontig_1.1	190000	200000	PopA.INDEL.lungonly	0
38	Supercontig_1.1	190000	200000	PopA.SNP.fixed	1
38	Supercontig_1.1	190000	200000	PopA.SNP.lungonly	0
38	Supercontig_1.1	190000	200000	repeats	0
39	Supercontig_1.1	195000	205000	Genes	6
39	Supercontig_1.1	195000	205000	PopA.INDEL.fixed	4
39	Supercontig_1.1	195000	205000	PopA.INDEL.lungonly	2
39	Supercontig_1.1	195000	205000	PopA.SNP.fixed	1
39	Supercontig_1.1	195000	205000	PopA.SNP.lungonly	0
39	Supercontig_1.1	195000	205000	repeats	0
40	Supercontig_1.1	200000	210000	Genes	6
40	Supercontig_1.1	200000	210000	PopA.INDEL.fixed	2
40	Supercontig_1.1	200000	210000	PopA.INDEL.lungonly	2
40	Supercontig_1.1	200000	210000	PopA.SNP.fixed	0
40	Supercontig_1.1	200000	210000	PopA.SNP.lungonly	0
40	Supercontig_1.1	200000	210000	repeats	0
41	Supercontig_1.1	205000	215000	Genes	6
41	Supercontig_1.1	205000	215000	PopA.INDEL.fixed	1
41	Supercontig_1.1	205000	215000	PopA.INDEL.lungonly	0
41	Supercontig_1.1	205000	215000	PopA.SNP.fixed	0
41	Supercontig_1.1	205000	215000	PopA.SNP.lungonly	0
41	Supercontig_1.1	205000	215000	repeats	0
42	Supercontig_1.1	210000	220000	Genes	6
42	Supercontig_1.1	210000	220000	PopA.INDEL.fixed	40
42	Supercontig_1.1	210000	220000	PopA.INDEL.lungonly	0
42	Supercontig_1.1	210000	220000	PopA.SNP.fixed	7
42	Supercontig_1.1	210000	220000	PopA.SNP.lungonly	0
42	Supercontig_1.1	210000	220000	repeats	0
43	Supercontig_1.1	215000	225000	Genes	6
43	Supercontig_1.1	215000	225000	PopA.INDEL.fixed	40
43	Supercontig_1.1	215000	225000	PopA.INDEL.lungonly	0
43	Supercontig_1.1	215000	225000	PopA.SNP.fixed	7
43	Supercontig_1.1	215000	225000	PopA.SNP.lungonly	0
43	Supercontig_1.1	215000	225000	repeats	0
44	Supercontig_1.1	220000	230000	Genes	6
44	Supercontig_1.1	220000	230000	PopA.INDEL.fixed	0
44	Supercontig_1.1	220000	230000	PopA.INDEL.lungonly	0
44	Supercontig_1.1	220000	230000	PopA.SNP.fixed	0
44	Supercontig_1.1	220000	230000	PopA.SNP.lungonly	0
44	Supercontig_1.1	220000	230000	repeats	0
45	Supercontig_1.1	225000	235000	Genes	6
45	Supercontig_1.1	225000	235000	PopA.INDEL.fixed	0
45	Supercontig_1.1	225000	235000	PopA.INDEL.lungonly	0
45	Supercontig_1.1	225000	235000	PopA.SNP.fixed	0
45	Supercontig_1.1	225000	235000	PopA.SNP.lungonly	1
45	Supercontig_1.1	225000	235000	repeats	0
46	Supercontig_1.1	230000	240000	Genes	6
46	Supercontig_1.1	230000	240000	PopA.INDEL.fixed	0
46	Supercontig_1.1	230000	240000	PopA.INDEL.lungonly	0
46	Supercontig_1.1	230000	240000	PopA.SNP.fixed	0
46	Supercontig_1.1	230000	240000	PopA.SNP.lungonly	1
46	Supercontig_1.1	230000	240000	repeats	0
47	Supercontig_1.1	235000	245000	Genes	5
47	Supercontig_1.1	235000	245000	PopA.INDEL.fixed	0
47	Supercontig_1.1	235000	245000	PopA.INDEL.lungonly	0
47	Supercontig_1.1	235000	245000	PopA.SNP.fixed	0
47	Supercontig_1.1	235000	245000	PopA.SNP.lungonly	0
47	Supercontig_1.1	235000	245000	repeats	0
48	Supercontig_1.1	240000	250000	Genes	7
48	Supercontig_1.1	240000	250000	PopA.INDEL.fixed	0
48	Supercontig_1.1	240000	250000	PopA.INDEL.lungonly	0
48	Supercontig_1.1	240000	250000	PopA.SNP.fixed	0
48	Supercontig_1.1	240000	250000	PopA.SNP.lungonly	0
48	Supercontig_1.1	240000	250000	repeats	0
49	Supercontig_1.1	245000	255000	Genes	9
49	Supercontig_1.1	245000	255000	PopA.INDEL.fixed	2
49	Supercontig_1.1	245000	255000	PopA.INDEL.lungonly	2
49	Supercontig_1.1	245000	255000	PopA.SNP.fixed	2
49	Supercontig_1.1	245000	255000	PopA.SNP.lungonly	0
49	Supercontig_1.1	245000	255000	repeats	5
50	Supercontig_1.1	250000	260000	Genes	6
50	Supercontig_1.1	250000	260000	PopA.INDEL.fixed	3
50	Supercontig_1.1	250000	260000	PopA.INDEL.lungonly	2
50	Supercontig_1.1	250000	260000	PopA.SNP.fixed	2
50	Supercontig_1.1	250000	260000	PopA.SNP.lungonly	1
50	Supercontig_1.1	250000	260000	repeats	6
51	Supercontig_1.1	255000	265000	Genes	5
51	Supercontig_1.1	255000	265000	PopA.INDEL.fixed	1
51	Supercontig_1.1	255000	265000	PopA.INDEL.lungonly	0
51	Supercontig_1.1	255000	265000	PopA.SNP.fixed	1
51	Supercontig_1.1	255000	265000	PopA.SNP.lungonly	1
51	Supercontig_1.1	255000	265000	repeats	2
52	Supercontig_1.1	260000	270000	Genes	5
52	Supercontig_1.1	260000	270000	PopA.INDEL.fixed	0
52	Supercontig_1.1	260000	270000	PopA.INDEL.lungonly	1
52	Supercontig_1.1	260000	270000	PopA.SNP.fixed	1
52	Supercontig_1.1	260000	270000	PopA.SNP.lungonly	0
52	Supercontig_1.1	260000	270000	repeats	0
53	Supercontig_1.1	265000	275000	Genes	5
53	Supercontig_1.1	265000	275000	PopA.INDEL.fixed	0
53	Supercontig_1.1	265000	275000	PopA.INDEL.lungonly	1
53	Supercontig_1.1	265000	275000	PopA.SNP.fixed	1
53	Supercontig_1.1	265000	275000	PopA.SNP.lungonly	0
53	Supercontig_1.1	265000	275000	repeats	0
54	Supercontig_1.1	270000	280000	Genes	6
54	Supercontig_1.1	270000	280000	PopA.INDEL.fixed	0
54	Supercontig_1.1	270000	280000	PopA.INDEL.lungonly	0
54	Supercontig_1.1	270000	280000	PopA.SNP.fixed	1
54	Supercontig_1.1	270000	280000	PopA.SNP.lungonly	0
54	Supercontig_1.1	270000	280000	repeats	0
55	Supercontig_1.1	275000	285000	Genes	7
55	Supercontig_1.1	275000	285000	PopA.INDEL.fixed	1
55	Supercontig_1.1	275000	285000	PopA.INDEL.lungonly	0
55	Supercontig_1.1	275000	285000	PopA.SNP.fixed	0
55	Supercontig_1.1	275000	285000	PopA.SNP.lungonly	1
55	Supercontig_1.1	275000	285000	repeats	1
56	Supercontig_1.1	280000	290000	Genes	7
56	Supercontig_1.1	280000	290000	PopA.INDEL.fixed	1
56	Supercontig_1.1	280000	290000	PopA.INDEL.lungonly	0
56	Supercontig_1.1	280000	290000	PopA.SNP.fixed	0
56	Supercontig_1.1	280000	290000	PopA.SNP.lungonly	1
56	Supercontig_1.1	280000	290000	repeats	1
57	Supercontig_1.1	285000	295000	Genes	7
57	Supercontig_1.1	285000	295000	PopA.INDEL.fixed	8
57	Supercontig_1.1	285000	295000	PopA.INDEL.lungonly	0
57	Supercontig_1.1	285000	295000	PopA.SNP.fixed	3
57	Supercontig_1.1	285000	295000	PopA.SNP.lungonly	1
57	Supercontig_1.1	285000	295000	repeats	0
58	Supercontig_1.1	290000	300000	Genes	8
58	Supercontig_1.1	290000	300000	PopA.INDEL.fixed	8
58	Supercontig_1.1	290000	300000	PopA.INDEL.lungonly	0
58	Supercontig_1.1	290000	300000	PopA.SNP.fixed	3
58	Supercontig_1.1	290000	300000	PopA.SNP.lungonly	1
58	Supercontig_1.1	290000	300000	repeats	1
59	Supercontig_1.1	295000	305000	Genes	7
59	Supercontig_1.1	295000	305000	PopA.INDEL.fixed	0
59	Supercontig_1.1	295000	305000	PopA.INDEL.lungonly	0
59	Supercontig_1.1	295000	305000	PopA.SNP.fixed	0
59	Supercontig_1.1	295000	305000	PopA.SNP.lungonly	0
59	Supercontig_1.1	295000	305000	repeats	1
60	Supercontig_1.1	300000	310000	Genes	6
60	Supercontig_1.1	300000	310000	PopA.INDEL.fixed	4
60	Supercontig_1.1	300000	310000	PopA.INDEL.lungonly	0
60	Supercontig_1.1	300000	310000	PopA.SNP.fixed	2
60	Supercontig_1.1	300000	310000	PopA.SNP.lungonly	0
60	Supercontig_1.1	300000	310000	repeats	0
61	Supercontig_1.1	305000	315000	Genes	4
61	Supercontig_1.1	305000	315000	PopA.INDEL.fixed	4
61	Supercontig_1.1	305000	315000	PopA.INDEL.lungonly	1
61	Supercontig_1.1	305000	315000	PopA.SNP.fixed	3
61	Supercontig_1.1	305000	315000	PopA.SNP.lungonly	0
61	Supercontig_1.1	305000	315000	repeats	2
62	Supercontig_1.1	310000	320000	Genes	4
62	Supercontig_1.1	310000	320000	PopA.INDEL.fixed	0
62	Supercontig_1.1	310000	320000	PopA.INDEL.lungonly	1
62	Supercontig_1.1	310000	320000	PopA.SNP.fixed	1
62	Supercontig_1.1	310000	320000	PopA.SNP.lungonly	0
62	Supercontig_1.1	310000	320000	repeats	2
63	Supercontig_1.1	315000	325000	Genes	3
63	Supercontig_1.1	315000	325000	PopA.INDEL.fixed	0
63	Supercontig_1.1	315000	325000	PopA.INDEL.lungonly	0
63	Supercontig_1.1	315000	325000	PopA.SNP.fixed	0
63	Supercontig_1.1	315000	325000	PopA.SNP.lungonly	1
63	Supercontig_1.1	315000	325000	repeats	1
64	Supercontig_1.1	320000	330000	Genes	5
64	Supercontig_1.1	320000	330000	PopA.INDEL.fixed	1
64	Supercontig_1.1	320000	330000	PopA.INDEL.lungonly	1
64	Supercontig_1.1	320000	330000	PopA.SNP.fixed	0
64	Supercontig_1.1	320000	330000	PopA.SNP.lungonly	1
64	Supercontig_1.1	320000	330000	repeats	1
65	Supercontig_1.1	325000	335000	Genes	5
65	Supercontig_1.1	325000	335000	PopA.INDEL.fixed	1
65	Supercontig_1.1	325000	335000	PopA.INDEL.lungonly	1
65	Supercontig_1.1	325000	335000	PopA.SNP.fixed	2
65	Supercontig_1.1	325000	335000	PopA.SNP.lungonly	0
65	Supercontig_1.1	325000	335000	repeats	0
66	Supercontig_1.1	330000	340000	Genes	4
66	Supercontig_1.1	330000	340000	PopA.INDEL.fixed	0
66	Supercontig_1.1	330000	340000	PopA.INDEL.lungonly	0
66	Supercontig_1.1	330000	340000	PopA.SNP.fixed	2
66	Supercontig_1.1	330000	340000	PopA.SNP.lungonly	0
66	Supercontig_1.1	330000	340000	repeats	0
67	Supercontig_1.1	335000	345000	Genes	5
67	Supercontig_1.1	335000	345000	PopA.INDEL.fixed	5
67	Supercontig_1.1	335000	345000	PopA.INDEL.lungonly	0
67	Supercontig_1.1	335000	345000	PopA.SNP.fixed	1
67	Supercontig_1.1	335000	345000	PopA.SNP.lungonly	0
67	Supercontig_1.1	335000	345000	repeats	0
68	Supercontig_1.1	340000	350000	Genes	5
68	Supercontig_1.1	340000	350000	PopA.INDEL.fixed	11
68	Supercontig_1.1	340000	350000	PopA.INDEL.lungonly	0
68	Supercontig_1.1	340000	350000	PopA.SNP.fixed	75
68	Supercontig_1.1	340000	350000	PopA.SNP.lungonly	0
68	Supercontig_1.1	340000	350000	repeats	0
69	Supercontig_1.1	345000	355000	Genes	4
69	Supercontig_1.1	345000	355000	PopA.INDEL.fixed	13
69	Supercontig_1.1	345000	355000	PopA.INDEL.lungonly	0
69	Supercontig_1.1	345000	355000	PopA.SNP.fixed	128
69	Supercontig_1.1	345000	355000	PopA.SNP.lungonly	0
69	Supercontig_1.1	345000	355000	repeats	0
70	Supercontig_1.1	350000	360000	Genes	4
70	Supercontig_1.1	350000	360000	PopA.INDEL.fixed	23
70	Supercontig_1.1	350000	360000	PopA.INDEL.lungonly	0
70	Supercontig_1.1	350000	360000	PopA.SNP.fixed	136
70	Supercontig_1.1	350000	360000	PopA.SNP.lungonly	1
70	Supercontig_1.1	350000	360000	repeats	1
71	Supercontig_1.1	355000	365000	Genes	5
71	Supercontig_1.1	355000	365000	PopA.INDEL.fixed	23
71	Supercontig_1.1	355000	365000	PopA.INDEL.lungonly	0
71	Supercontig_1.1	355000	365000	PopA.SNP.fixed	146
71	Supercontig_1.1	355000	365000	PopA.SNP.lungonly	1
71	Supercontig_1.1	355000	365000	repeats	1
72	Supercontig_1.1	360000	370000	Genes	4
72	Supercontig_1.1	360000	370000	PopA.INDEL.fixed	21
72	Supercontig_1.1	360000	370000	PopA.INDEL.lungonly	1
72	Supercontig_1.1	360000	370000	PopA.SNP.fixed	165
72	Supercontig_1.1	360000	370000	PopA.SNP.lungonly	0
72	Supercontig_1.1	360000	370000	repeats	0
73	Supercontig_1.1	365000	375000	Genes	7
73	Supercontig_1.1	365000	375000	PopA.INDEL.fixed	30
73	Supercontig_1.1	365000	375000	PopA.INDEL.lungonly	2
73	Supercontig_1.1	365000	375000	PopA.SNP.fixed	181
73	Supercontig_1.1	365000	375000	PopA.SNP.lungonly	0
73	Supercontig_1.1	365000	375000	repeats	0
74	Supercontig_1.1	370000	380000	Genes	7
74	Supercontig_1.1	370000	380000	PopA.INDEL.fixed	28
74	Supercontig_1.1	370000	380000	PopA.INDEL.lungonly	2
74	Supercontig_1.1	370000	380000	PopA.SNP.fixed	163
74	Supercontig_1.1	370000	380000	PopA.SNP.lungonly	0
74	Supercontig_1.1	370000	380000	repeats	0
75	Supercontig_1.1	375000	385000	Genes	4
75	Supercontig_1.1	375000	385000	PopA.INDEL.fixed	20
75	Supercontig_1.1	375000	385000	PopA.INDEL.lungonly	3
75	Supercontig_1.1	375000	385000	PopA.SNP.fixed	176
75	Supercontig_1.1	375000	385000	PopA.SNP.lungonly	1
75	Supercontig_1.1	375000	385000	repeats	0
76	Supercontig_1.1	380000	390000	Genes	4
76	Supercontig_1.1	380000	390000	PopA.INDEL.fixed	21
76	Supercontig_1.1	380000	390000	PopA.INDEL.lungonly	6
76	Supercontig_1.1	380000	390000	PopA.SNP.fixed	168
76	Supercontig_1.1	380000	390000	PopA.SNP.lungonly	2
76	Supercontig_1.1	380000	390000	repeats	0
77	Supercontig_1.1	385000	395000	Genes	3
77	Supercontig_1.1	385000	395000	PopA.INDEL.fixed	15
77	Supercontig_1.1	385000	395000	PopA.INDEL.lungonly	4
